timestamp,exchange,funding_rate
2026-09-10 11:00:00.048000+08:00,hyperliquid,0.0000894212
2026-09-10 12:00:00.047000+08:00,hyperliquid,0.0000592147
2026-09-10 13:00:00.010000+08:00,hyperliquid,0.0002637542
2026-09-10 14:00:00.021000+08:00,hyperliquid,0.0000855167
2026-09-10 15:00:00.026000+08:00,hyperliquid,0.0000991527
2026-09-10 16:00:00.001000+08:00,binance,0.0000000000
2026-09-10 16:00:00.027000+08:00,hyperliquid,0.0000062500
2026-09-10 17:00:00.040000+08:00,hyperliquid,-0.0001487546
2026-09-10 18:00:00.112000+08:00,hyperliquid,-0.0000787785
2026-09-10 19:00:00.012000+08:00,hyperliquid,-0.0002332222
2026-09-10 20:00:00.001000+08:00,binance,0.0000000000
2026-09-10 20:00:00.126000+08:00,hyperliquid,0.0000008055
2026-09-10 21:00:00.008000+08:00,hyperliquid,-0.0000006477
2026-09-10 22:00:00.007000+08:00,hyperliquid,-0.0000513012
2026-09-10 23:00:00.004000+08:00,hyperliquid,0.0001946979
2026-09-11 00:00:00.001000+08:00,binance,0.0000000000
2026-09-11 00:00:00.091000+08:00,hyperliquid,0.0002630449
2026-09-11 01:00:00.001000+08:00,hyperliquid,0.0000766167
2026-09-11 02:00:00.063000+08:00,hyperliquid,0.0001698833
2026-09-11 03:00:00.045000+08:00,hyperliquid,0.0001770930
2026-09-11 04:00:00.001000+08:00,binance,0.0000000000
2026-09-11 04:00:00.028000+08:00,hyperliquid,0.0003255375
2026-09-11 05:00:00.110000+08:00,hyperliquid,0.0004844952
2026-09-11 06:00:00.028000+08:00,hyperliquid,0.0003764855
2026-09-11 07:00:00.007000+08:00,hyperliquid,0.0001614737
2026-09-11 08:00:00.001000+08:00,binance,-0.0001678600
2026-09-11 08:00:00.040000+08:00,hyperliquid,0.0001797660
2026-09-11 09:00:00.030000+08:00,hyperliquid,0.0001212414
2026-09-11 10:00:00.019000+08:00,hyperliquid,0.0000210886
2026-09-11 11:00:00.118000+08:00,hyperliquid,0.0000269593
2026-09-11 12:00:00.001000+08:00,binance,0.0008049700
2026-09-11 12:00:00.030000+08:00,hyperliquid,0.0000062500
2026-09-11 13:00:00.018000+08:00,hyperliquid,0.0001192917
2026-09-11 14:00:00.042000+08:00,hyperliquid,0.0000419146
2026-09-11 15:00:00.124000+08:00,hyperliquid,0.0000451278
2026-09-11 16:00:00.001000+08:00,binance,0.0002130300
2026-09-11 16:00:00.085000+08:00,hyperliquid,-0.0001082431
2026-09-11 17:00:00.037000+08:00,hyperliquid,-0.0002211238
2026-09-11 18:00:00.021000+08:00,hyperliquid,-0.0001423330
2026-09-11 19:00:00.046000+08:00,hyperliquid,-0.0002280158
2026-09-11 20:00:00.001000+08:00,binance,0.0000000000
2026-09-11 20:00:00.006000+08:00,hyperliquid,-0.0002935812
2026-09-11 21:00:00.057000+08:00,hyperliquid,-0.0002358573
2026-09-11 22:00:00.020000+08:00,hyperliquid,-0.0000714553
2026-09-11 23:00:00.047000+08:00,hyperliquid,-0.0002675880
