type,coin,ex1,ex2,open_diff_pct,close_diff_pct,spread_width_pct,trade24_1,trade24_2,rate1,rate2,net_rate2_minus_rate1,rate_interval1_h,rate_interval2_h,rate_max1,rate_max2,index_diff1_pct,index_diff2_pct
SF,UPUSDT,htx-S,okx-F,46.43994007511386,50.41853659909119,3.978596523977329,4277602.0,44847012.0,,0.041,,,4,,1.5,,0.6415094339622563
SF,UPUSDT,htx-S,gate-F,46.08464886200888,50.13742523832121,4.052776376312322,4277602.0,3179319.0,,0.005,,,4,,2.0,,0.21515117200770578
SF,AIUSDT,gate-S,okx-F,29.53281423804227,29.95545657015591,0.42264233211363744,692251.0,312990834.0,,0.152,,,4,,1.5,,0.04850836769342513
SF,AIUSDT,binance-S,okx-F,28.737702646529034,29.126213592233018,0.3885109457039848,23378813.96878,312990834.0,,0.152,,,4,,1.5,,0.04850836769342513
SF,AIUSDT,htx-S,okx-F,28.737702646529034,29.76356050069542,1.0258578541663843,5801763.0,312990834.0,,0.152,,,4,,1.5,,0.04850836769342513
SF,VANRYUSDT,gate-S,binance-F,23.278370514064008,23.54653984276424,0.2681693287002296,344679.0,1640323.0,,0.005,,,4,,2.0,,-0.14578903978826607
SF,VANRYUSDT,gate-S,bitget-F,23.209780710265868,23.597904133514444,0.3881234232485764,344679.0,103869.0,,0.005,,,4,,2.0,,-0.0625260525218894
SF,VANRYUSDT,gate-S,gate-F,23.141137643176087,23.51228036112997,0.37114271795388454,344679.0,261856.0,,0.005,,,4,,2.0,,0.19193857965450575
SF,VANRYUSDT,gate-S,bybit-F,23.089620351490435,23.357947920715116,0.26832756922468004,344679.0,225937.0,,0.005,,,4,,2.5,,-0.19110493398192713
SF,LUNCUSDT,htx-S,gate-F,3.4853064111632768,4.903927023355118,1.4186206121918412,33809.0,1209886.0,,-0.041,,,8,,2.0,,-0.15136226034309488
SF,LUNCUSDT,htx-S,bitget-F,3.4726688102893863,4.8281664617176965,1.35549765142831,33809.0,3846415.0,,0.01,,,8,,1.95,,-0.07774864915795013
SF,BLESSUSDT,gate-S,htx-F,0.9637412117860856,8.247579846024847,7.283838634238761,195969.0,49838.0,,0.005,,,4,,2.0,,
SF,BLESSUSDT,bitget-S,htx-F,0.9605662285136599,8.187277105495776,7.226710876982116,463384.0,49838.0,,0.005,,,4,,2.0,,
SF,BTTUSDT,bybit-S,htx-F,0.9381146920865551,1.8680325399216757,0.9299178478351208,76581.0,47462.0,,0.53,,,8,,2.0,,
SF,BTTUSDT,gate-S,htx-F,0.9381146920865551,1.8984480940183808,0.9603334019318257,107606.0,47462.0,,0.53,,,8,,2.0,,
SF,FHEUSDT,gate-S,htx-F,0.9039956608208289,1.626016260162611,0.7220205993417819,382824.0,94641.0,,0.005,,,4,,2.0,,
SF,FHEUSDT,htx-S,htx-F,0.9039956608208289,2.027516292541642,1.123520631720813,1824559.0,94641.0,,0.005,,,4,,2.0,,
SF,0GUSDT,bybit-S,htx-F,0.9022013713460851,1.4046461372231278,0.5024447658770427,91942.0,18810.0,,0.005,,,4,,2.0,,
SF,0GUSDT,gate-S,htx-F,0.8659570629622996,1.4046461372231278,0.5386890742608282,43804.0,18810.0,,0.005,,,4,,2.0,,
SF,PENGUINUSDT,bybit-S,aster-F,0.8568980291345353,3.0232063018948216,2.1663082727602867,305016.0,12582.0,,0.001,,,1,,2.0,,1.8238923452376803
SF,0GUSDT,binance-S,htx-F,0.8478398123928792,1.4772113132768843,0.6293715008840051,1145587.50205,18810.0,,0.005,,,4,,2.0,,
SF,0GUSDT,bitget-S,htx-F,0.8478398123928792,1.4590651175358005,0.6112253051429212,36917.0,18810.0,,0.005,,,4,,2.0,,
SF,BTTUSDT,htx-S,htx-F,0.8469449485783419,2.020202020202028,1.173257071623686,3597195.0,47462.0,,0.53,,,8,,2.0,,
