type,coin,ex1,ex2,open_diff_pct,close_diff_pct,spread_width_pct,trade24_1,trade24_2,rate1,rate2,net_rate2_minus_rate1,rate_interval1_h,rate_interval2_h,rate_max1,rate_max2,index_diff1_pct,index_diff2_pct
FF,SIRENUSDT,gate-F,htx-F,0.2640941935957152,0.4289563894337425,0.1648621958380273,46076687.0,4072432.0,-0.069,0.059,0.128,4,4,2.0,2.0,-0.4018238449622052,
FF,UPUSDT,gate-F,okx-F,0.2626148940161448,0.4128354287858847,0.1502205347697399,3179319.0,44847012.0,0.005,0.041,0.036000000000000004,4,4,2.0,1.5,0.21515117200770578,0.6415094339622563
FF,DRAMUSDT,okx-F,bitget-F,0.26178010471204294,0.5044371788883625,0.24265707417631954,2985604.0,2140357.0,0.01,0.1,0.09000000000000001,8,8,1.5,0.1,0.28174305033808894,-0.010340623836545876
FF,SIRENUSDT,bybit-F,gate-F,0.2593651990765904,0.29794199326873005,0.038576794192139635,61552591.0,46076687.0,-0.036,-0.069,-0.03300000000000001,4,4,5.0,2.0,-0.21843680017622238,-0.4018238449622052
FF,COLLECTUSDT,binance-F,gate-F,0.2561229390107147,0.38406144983196855,0.12793851082125385,26142668.0,1420757.0,0.005,0.005,0.0,4,4,2.0,2.0,0.08596448801704909,0.4269388803287146
FF,NEARUSDT,binance-F,htx-F,0.2542911633820727,0.38143674507310904,0.12714558169103635,118845588.0,1043424.0,-0.008,0.01,0.018000000000000002,8,8,2.0,2.0,-0.12165386003964468,
FF,SIRENUSDT,bitget-F,gate-F,0.2501563477173284,0.3698013927346109,0.11964504501728243,53647558.0,46076687.0,-0.038,-0.069,-0.031000000000000007,4,4,2.0,2.0,-0.3837216583562631,-0.4018238449622052
FF,LABUSDT,binance-F,okx-F,0.24976530673764902,0.25665538416487804,0.006890077427229016,505806203.0,576671418.0,-0.016,0.005,0.021,4,4,2.0,1.5,-0.13889920285272148,-0.04780673696665306
FF,BILLUSDT,binance-F,htx-F,0.24582653585715017,0.3484787561989023,0.10265222034175209,352880838.0,3294479.0,0.026,0.005,-0.020999999999999998,4,4,2.0,2.0,0.09029099188273332,
FF,WLFIUSDT,bybit-F,aster-F,0.24350068036955308,0.40080160320641633,0.15730092283686328,15184642.0,2120601.0,0.005,0.027,0.022,4,4,0.53,2.0,-0.0716537689882409,0.009410265668840593
FF,AIGENSYNUSDT,bitget-F,bybit-F,0.2431315341599875,0.3647416413373796,0.12161010717739208,54585814.0,114342679.0,0.005,0.005,0.0,4,4,2.0,2.5,-0.6888247466495968,0.0
FF,NEARUSDT,bybit-F,htx-F,0.24156124849024382,0.31139779479521634,0.06983654630497252,59197891.0,1043424.0,-0.013,0.01,0.023,8,8,1.0,2.0,-0.08900756564308397,
FF,BTRUSDT,binance-F,bybit-F,0.23837902264600927,0.3745956070151624,0.13621658436915318,2631268.0,1225097.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.002727303719367906,-0.10193679918451325
FF,SKYAIUSDT,gate-F,bitget-F,0.23750461814535598,0.2717713954010029,0.03426677725564694,30991924.0,23732114.0,0.001,0.013,0.012,4,4,2.0,2.0,-0.0021152381758207123,0.17566224224360683
FF,BILLUSDT,bitget-F,htx-F,0.23687680171622827,0.3842888422181508,0.14741204050192253,63815034.0,3294479.0,0.005,0.005,0.0,4,4,2.0,2.0,0.0001809751931458274,
FF,BILLUSDT,bybit-F,htx-F,0.23687680171622827,0.3708585599070608,0.1339817581908325,96723161.0,3294479.0,0.005,0.005,0.0,4,4,2.5,2.0,0.06271558482282902,
FF,LABUSDT,bybit-F,bitget-F,0.2306896347069971,0.24134665585222614,0.010657021145229041,127973469.0,97874741.0,-0.027,0.009,0.036,4,4,2.5,1.875,-0.07019741301886871,0.18520450567693403
FF,BUSDT,gate-F,binance-F,0.22885675647560383,0.2912419388391954,0.06238518236359154,29535659.0,228861958.0,0.005,0.01,0.005,4,4,2.0,2.0,-0.07497500833055054,0.19484400571622112
FF,NEARUSDT,bitget-F,htx-F,0.22883295194508313,0.31139779479521634,0.08256484285013321,16119100.0,1043424.0,-0.009,0.01,0.019,8,8,1.32,2.0,-0.06419351570819085,
FF,HUSDT,gate-F,binance-F,0.22831491979953927,0.23605440860631133,0.007739488806772065,2455177.0,27529708.0,0.006,0.005,-0.001,8,4,2.0,2.0,-0.12893333797956902,0.09205962250563415
FF,LABUSDT,htx-F,gate-F,0.228028159667973,0.2951532324275684,0.06712507275959544,8485283.0,75776369.0,0.005,0.005,0.0,4,4,2.0,2.0,,-0.0316239708667456
FF,FHEUSDT,binance-F,bybit-F,0.21762785636561854,0.3627130939426892,0.14508523757707065,4989429.0,2241170.0,0.005,0.068,0.063,4,4,2.0,2.5,0.031776860991504,0.0726744186046482
FF,AZTECUSDT,okx-F,gate-F,0.21308331557639645,0.3835499680375018,0.17046665246110534,3861856.0,1908315.0,-0.024,0.01,0.034,4,8,1.5,2.0,-0.2554278416347425,-0.006385288295758171
FF,ZBTUSDT,okx-F,bitget-F,0.21169621593014995,0.3041925671207434,0.09249635119059343,8486856.0,3297819.0,-0.022,0.005,0.027,4,4,1.5,2.0,-0.24445031712472348,0.08646471398684272
FF,MLNUSDT,binance-F,bybit-F,0.2101155635599615,0.3002101471029657,0.09009458354300418,137015038.0,36935063.0,-0.193,-0.538,-0.34500000000000003,4,4,2.0,2.5,-0.8594308229922293,-0.20901761719916745
FF,SIRENUSDT,aster-F,gate-F,0.2096474612428103,0.3937659852429814,0.18411852400017106,8007472.0,46076687.0,-0.018,-0.069,-0.051000000000000004,1,4,2.0,2.0,-0.3550041074658122,-0.4018238449622052
FF,HUSDT,gate-F,okx-F,0.20898641588296177,0.2244582043343535,0.015471788451391737,2455177.0,22085554.0,0.006,0.005,-0.001,8,4,2.0,1.5,-0.12893333797956902,0.15877318669401927
FF,NEARUSDT,gate-F,htx-F,0.19701928882391437,0.26685304021856415,0.0698337513946498,3402409.0,1043424.0,-0.013,0.01,0.023,8,8,2.0,2.0,-0.025424267463290916,
FF,LABUSDT,aster-F,okx-F,0.19545292124625246,0.1990659741834203,0.003613052937167854,46634098.0,576671418.0,0.001,0.005,0.004,1,4,2.0,1.5,-0.026040903004083443,-0.04780673696665306
FF,AIGENSYNUSDT,htx-F,gate-F,0.1946945728887728,0.3895787679571474,0.19488419506837462,1608690.0,25023010.0,0.005,0.005,0.0,4,4,2.0,2.0,,-0.14334653417236448
FF,HUSDT,gate-F,bybit-F,0.19352091961141019,0.2051282051281954,0.011607285516785238,2455177.0,10268391.0,0.006,0.005,-0.001,8,4,2.0,2.5,-0.12893333797956902,0.07316619953854765
FF,HYPEUSDT,htx-F,gate-F,0.19306289901494253,0.26333113890718574,0.0702682398922432,5981417.0,26745673.0,0.001,-0.01,-0.011,4,4,2.0,2.0,,-0.07446342531756225
FF,VICUSDT,binance-F,gate-F,0.19175455417065979,0.3659492898841193,0.17419473571345948,21743983.0,1000680.0,0.005,0.073,0.06799999999999999,4,8,2.0,2.0,0.022488794918612512,0.08716875871687836
FF,NEARUSDT,okx-F,htx-F,0.19065776930409223,0.3177629488401726,0.12710517953608033,24707468.0,1043424.0,0.01,0.01,0.0,8,8,1.5,2.0,-0.07627765064835162,
FF,LABUSDT,htx-F,bybit-F,0.18790673619789622,0.1913545662198834,0.0034478300219871645,8485283.0,127973469.0,0.005,-0.027,-0.032,4,4,2.0,2.5,,-0.07019741301886871
FF,ZBTUSDT,bybit-F,bitget-F,0.17858914574859952,0.27108334159806513,0.09249419584946564,4664587.0,3297819.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.13882461823229192,0.08646471398684272
FF,LABUSDT,binance-F,gate-F,0.17800017748324667,0.24684914210018447,0.0688489646169378,505806203.0,75776369.0,-0.016,0.005,0.021,4,4,2.0,2.0,-0.13889920285272148,-0.0316239708667456
FF,SAPIENUSDT,binance-F,okx-F,0.17689983047098856,0.19901964397596467,0.0221198135049761,31966884.0,6003817.0,0.001,0.005,0.004,4,4,2.0,1.5,-0.20094561777094397,0.007365939893937833
FF,OPGUSDT,gate-F,binance-F,0.1762735765908692,0.28198801550934893,0.10571443891847972,1106111.0,18893190.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.10366933009866798,0.1056482806194235
FF,MRVLUSDT,bitget-F,okx-F,0.1748251748251711,0.311449881157294,0.13662470633212292,2580432.0,2367008.0,0.0,0.055,0.055,8,8,0.1,1.5,-0.38263708306212085,0.12570366726785254
FF,BILLUSDT,binance-F,okx-F,0.17437571259305693,0.19672717517660554,0.022351462583548604,352880838.0,346809025.0,0.026,0.088,0.062,4,4,2.0,1.5,0.09029099188273332,0.3628056973931762
FF,NAORISUSDT,gate-F,binance-F,0.17395626242544887,0.4353504571179838,0.26139419469253494,1539711.0,39587039.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.053427431880026056,0.023890938054133518
FF,ORDIUSDT,binance-F,htx-F,0.1702489891466271,0.21281123643327915,0.042562247286652054,24582170.0,1896916.0,0.002,0.005,0.003,4,4,2.0,2.0,-0.09402392621696334,
FF,ORDIUSDT,bybit-F,htx-F,0.1702489891466271,0.21281123643327915,0.042562247286652054,6743415.0,1896916.0,0.005,0.005,0.0,4,4,1.0,2.0,-0.02129471890969859,
FF,ORDIUSDT,okx-F,htx-F,0.1702489891466271,0.21281123643327915,0.042562247286652054,13459957.0,1896916.0,0.005,0.005,0.0,4,4,1.5,2.0,-0.0212992545260987,
FF,RECALLUSDT,bybit-F,binance-F,0.16957775139902131,0.33932813030199993,0.16975037890297864,1198221.0,4120389.0,0.005,0.005,0.0,4,4,2.0,2.0,-0.15256823190371216,0.009370044932167292
FF,HIGHUSDT,binance-F,bybit-F,0.16614362193095775,0.21695478569944754,0.050811163768489785,10070385.0,2410702.0,0.01,0.01,0.0,8,8,2.0,4.0,0.008278622353985738,0.25901942645698656
FF,BILLUSDT,bitget-F,okx-F,0.1654259718775765,0.23253734013057542,0.06711136825299892,63815034.0,346809025.0,0.005,0.088,0.08299999999999999,4,4,2.0,1.5,0.0001809751931458274,0.3628056973931762
FF,BILLUSDT,bybit-F,okx-F,0.1654259718775765,0.21910702707536406,0.05368105519778757,96723161.0,346809025.0,0.005,0.088,0.08299999999999999,4,4,2.5,1.5,0.06271558482282902,0.3628056973931762
FF,BLENDUSDT,bybit-F,okx-F,0.1639344262295129,0.41000410004100074,0.24606967381148784,2280087.0,2629528.0,0.005,0.066,0.061000000000000006,4,4,2.5,1.5,0.08223684210526552,0.4111842105263161
FF,SKYAIUSDT,binance-F,bitget-F,0.16355386725757345,0.20045894548045223,0.03690507822287877,120364227.0,23732114.0,0.005,0.013,0.008,4,4,2.0,2.0,0.03734055499615115,0.17566224224360683
FF,XPINUSDT,bybit-F,bitget-F,0.16345433494517866,0.6462804857308044,0.48282615078562574,2237547.0,1124797.0,0.007,0.005,-0.002,4,4,2.5,1.875,0.2876712328767119,0.5884510143816403
FF,BASEDUSDT,okx-F,gate-F,0.1621872103799829,0.23164234422053015,0.06945513384054726,39500748.0,1290466.0,0.005,0.005,0.0,4,4,1.5,2.0,-0.06952491309386384,0.07304601899195753
FF,OPNUSDT,binance-F,okx-F,0.16029922522040863,0.26716537536735263,0.106866150146944,2662165.0,1455860.0,0.005,0.005,0.0,4,4,2.0,1.5,-0.17024258619443347,0.10689470871192183
