segment,minutes,start_time,end_time,start_price,end_price,change_pct,min_price,min_change_pct,min_time,max_price,max_change_pct,max_time
2026-05-08 16:10 -> 2026-05-11 09:30,3921,2026-05-08 16:10,2026-05-11 09:30,118.0,120.3,1.9491525423728895,117.13,-0.7372881355932281,2026-05-09 11:09,121.22,2.728813559322041,2026-05-11 09:12
2026-05-11 16:10 -> 2026-05-12 09:30,1041,2026-05-11 16:10,2026-05-12 09:30,117.13,116.07,-0.9049773755656076,111.36,-4.926150431144882,2026-05-12 02:26,118.64,1.2891658840604503,2026-05-12 02:22
2026-05-12 16:10 -> 2026-05-13 09:30,1041,2026-05-12 16:10,2026-05-13 09:30,110.0,105.78,-3.8363636363636378,104.98,-4.563636363636359,2026-05-13 02:13,110.88,0.8000000000000007,2026-05-12 19:29
2026-05-13 16:10 -> 2026-05-14 09:30,1041,2026-05-13 16:10,2026-05-14 09:30,132.89,141.8,6.704793438181977,132.89,0.0,2026-05-13 16:10,161.59,21.596809391225836,2026-05-14 03:18
2026-05-14 16:10 -> 2026-05-15 08:33,984,2026-05-14 16:10,2026-05-15 08:33,138.95,139.99,0.7484706729039337,134.49,-3.2097876934148784,2026-05-15 04:31,141.0,1.4753508456279318,2026-05-14 21:43
