day,minutes,hk_first,hk_last,gate_first,gate_last,spread_pct_mean,spread_pct_min,spread_pct_max,spread_pct_last,rel_gap_last,hk_change_pct,gate_change_pct
2026-05-08,281,960.0,923.0,122.36,118.03,0.030845946674526975,-0.5001248789808806,1.1149444473209582,0.10427192644592335,0.3154285169445381,-3.8541666666666696,-3.5387381497221315
2026-05-11,317,948.0,899.0,120.3,117.5,2.0717957427404614,-1.76361696024736,4.632674193650141,2.328381761162647,2.3822804293342155,-5.168776371308015,-2.327514546965914
2026-05-12,330,911.5,840.0,116.07,110.44,3.0669151449386716,-8.1743134081888,8.482353907343171,2.9253493467966636,2.7582543314808703,-7.844212835984643,-4.8505212371844575
2026-05-13,327,839.5,1150.0,105.78,140.0,-3.184299052372435,-11.065782142510532,1.6344829845979687,-4.679480842922054,-5.375190694126619,36.98630136986301,32.350160710909435
2026-05-14,329,1123.0,1090.0,141.8,138.95,0.21843794484931375,-6.610023030694922,3.4922242504264576,-0.15295144177358863,0.016685736079313784,-2.9385574354407806,-2.0098730606488147
